tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
mailings,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
brainwashed,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
china,6.74183816217e-05,1.75682085698e-05,3.37091908109e-05,5.27046257093e-05,2.52818931082e-05,1.75682085698e-05,2.52818931082e-05,3.51364171395e-05
natured,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
kids,2.52818931082e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05
climbed,8.42729770272e-05,0.000122977459988,0.000126409465541,0.000228386711407,8.42729770272e-06,1.75682085698e-05,3.37091908109e-05,5.27046257093e-05
controversy,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
natures,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
golden,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
lengthen,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
stern,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
loman,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
forbore,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
dna,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
insecurity,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
abbreviations,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
cannibal,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
music,2.52818931082e-05,3.51364171395e-05,4.21364885136e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05
therefore,0.000126409465541,5.27046257093e-05,4.21364885136e-05,7.02728342791e-05,8.42729770272e-06,1.75682085698e-05,4.21364885136e-05,1.75682085698e-05
expeditionary,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
circumstances,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05
intake,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
locked,3.37091908109e-05,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,3.37091908109e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05
matilda,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
wane,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
disparagement,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
want,0.000471928671352,1.75682085698e-05,0.000168545954054,3.51364171395e-05,2.52818931082e-05,1.75682085698e-05,0.000252818931082,3.51364171395e-05
pinto,1.68545954054e-05,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
