tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
gurganus,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
approaches,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
reports,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
credit,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
superstitious,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
permit,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
military,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
postponed,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
settled,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
punishment,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
ventured,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
hornsby,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
secure,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
campaign,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
elaborated,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
explained,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0
schooling,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
erected,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
brought,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
ninety,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
punching,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
tutelage,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
sarah,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
spoke,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
would,9.0,4.0,6.0,1.0,3.0,1.0,19.0,3.0
army,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
arms,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
insult,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
noting,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
call,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
therefore,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
magiere,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
until,2.0,2.0,29.0,1.0,12.0,2.0,2.0,2.0
separated,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
holy,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
relax,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
expose,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
wars,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
hurt,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ruminations,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
glass,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
unraveled,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hold,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
casualties,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
must,3.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0
me,5.0,2.0,15.0,3.0,1.0,1.0,9.0,2.0
intake,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
word,2.0,1.0,1.0,1.0,11.0,1.0,2.0,1.0
room,4.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0
permits,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pursue,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
sweeten,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
work,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
refusing,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
entertained,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
